OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,PricePerItem,HighValueOrder,OrderMonth
ORD2000,2023-01-01,C72649,Monitor,5.0,570.62,928 Main,Shipped,TRK37947,7.0,SAVE10,Instagram,2853.1,570.62,1,1
ORD2000,2024-08-2,C75739,Phone,2.0,151.35,823 Main,Shipped,TRK91186,3.0,SAVE10,Referral,302.7,151.35,0,8
ORD2000,2024-02-2,C81728,Tablet,5.0,550.68,512 Main,Cancelled,TRK42903,8.0,FREESHIP,Email,2753.4,550.68,1,2
ORD2000,2023-10-1,C33540,Chair,1.0,273.19,275 Main,Returned,TRK62788,5.0,SAVE10,Facebook,273.19,273.19,0,10
ORD2000,2025-05-01,C81840,Printer,4.0,626.01,668 Main,Delivered,TRK29241,8.0,SAVE10,Email,2504.04,626.01,1,5
ORD2000,2023-10-2,C37249,Phone,2.0,245.86,934 Main,Shipped,TRK72976,4.0,SAVE10,Instagram,491.72,245.86,0,10
ORD2000,2025-06-1,C83492,Laptop,1.0,664.42,986 Main,Returned,TRK96417,6.0,SAVE10,Facebook,664.42,664.42,0,6
ORD2000,2023-05-1,C41460,Monitor,5.0,149.55,706 Main,Shipped,TRK78809,9.0,FREESHIP,Facebook,747.75,149.55,0,5
ORD2000,2025-04-01,C26817,Phone,2.0,134.28,904 Main,Cancelled,TRK61042,2.0,No Coupon,Email,268.56,134.28,0,4
ORD2000,2023-11-2,C31946,Desk,4.0,509.38,102 Main,Shipped,TRK33478,6.0,SAVE10,Google,2037.52,509.38,1,11
ORD2000,2023-12-2,C43443,Tablet,5.0,625.97,333 Main,Returned,TRK98859,9.0,WINTER1,Instagram,3129.85,625.97,1,12
ORD2000,2024-02-1,C93861,Monitor,3.0,49.14,831 Main,Returned,TRK48234,7.0,SAVE10,Email,147.42,49.14,0,2
ORD2000,2024-10-1,C38785,Monitor,2.0,180.5,179 Main,Pending,TRK20419,6.0,FREESHIP,Referral,361.0,180.5,0,10
ORD2000,2023-08-3,C88348,Laptop,3.0,201.49,903 Main,Returned,TRK81913,4.0,FREESHIP,Facebook,604.47,201.49,0,8
